id,category,category_num,degree,menu_name,price,info,cinnamon,whip,strong_or_weak,syrup_add,light_vanilia_add,stevia_changed,stevia_add,honey_add,choose_milk,choose_topping,zero_cider_changed
108,커피(ICE),11,ICE,카푸치노,2700,"에스프레소 위에 올려진 우유 거품, 그리고 시나몬 파우더로 완성한 조화로운 맛의 커피.","21,22","19,20","1,2,3,4","1,9",0,0,"1,12","1,15","1,13,14",0,0
109,커피(ICE),12,ICE,헤이즐넛라떼,3400,부드러운 카페라떼에 헤이즐넛의 풍부한 향과 달콤함을 담아 향긋하게 즐길 수 있는 라떼.,"21,22","19,20","1,2,3,9",0,0,0,0,"1,15","1,13,14",0,0
110,커피(ICE),13,ICE,티라미수라떼,3900,에스프레소와 티라미수 소스 & 우유 그리고 풍미를 더해주는 달달한 크림까지 곁들여 완성한 티라미수 라떼.,"21,22","19,20","1,2,3,4",0,0,"1,11",0,"1,15","1,13,14",0,0
111,티,1,ICE,트로피컬 용과 티플레져,3800,"상큼 달콤한 트로피컬 과일, 강렬한 레드 용과 에이드에 아식한 알로에 펄이 들어간 그린티 베이스의 티플레저",0,0,0,0,0,0,0,0,0,0,0
112,티,2,ICE,복숭아아이스티,3000,홍차의 깊은 맛과 풍부한 복숭아 향이 어우러진 달콤한 여름철 인기 음료,0,0,"1,2,3,4",0,0,0,0,"1,15",0,0,0
113,티,3,ICE,허니자몽블랙티,3700,달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
114,티,4,ICE,사과유자차,3500,애플티의 향긋함과 유자청의 상큼달콤함을 한컵에 담아낸 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
115,티,5,ICE,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
116,티,6,ICE,레몬차,3300,상큼한 레몬의 맛과 향을 오롯이 살린 비타민C 가득한 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
117,티,7,ICE,자몽차,3300,달콤쌉싸름한 자몽의 조화로운 맛을 한 잔 가득 느낄 수 있는 과일티.,0,0,0,0,0,"1,11",0,"1,15",0,0,0
118,티,8,ICE,녹차,2500,고소한 감칠맛과 부드러운 목넘김으로 산뜻하게 마음을 위로하는 국내산 녹차.,0,0,0,0,0,0,0,"1,15",0,0,0
119,티,9,ICE,페퍼민트,2500,"멘톨향의 묵직한 청량감, 상쾌한 맛과 향이 인상적인 허브티.",0,0,0,0,0,0,0,"1,15",0,0,0
120,티,10,ICE,캐모마일,2500,마음을 진정 시켜주는 산뜻한 풀내음을 느낄 수 있는 허브티.,0,0,0,0,0,0,0,"1,15",0,0,0
121,티,11,ICE,얼그레이,2500,홍차 특유의 풍부한 플레이버를 만끽할 수 있는 허브티.,0,0,0,0,0,0,0,"1,15",0,0,0
122,티,12,HOT,허니자몽블랙티,3700,달콤한 꿀청에 재운 자몽에 홍차의 부드러움을 어우른 상큼한 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
123,티,13,HOT,사과유자차,3500,애플티의 향긋함과 유자청의 상큼달콤함을 한컵에 담아낸 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
124,티,14,HOT,유자차,3300,비타민이 가득 든 상큼달콤한 유자를 듬뿍 넣어 향긋한 즐거움을 전하는 과일티.,0,0,0,0,0,0,0,"1,15",0,0,0
