id,menu_name,img_path
121,얼그레이,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_얼그레이.jpg
122,허니자몽블랙티,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_허니자몽블랙티.jpg
123,사과유자차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_사과유자차.jpg
124,유자차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_유자차.jpg
125,레몬차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_레몬차.jpg
126,자몽차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_자몽차.jpg
127,녹차,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\ICE_녹차.jpg
128,페퍼민트,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_페퍼민트.jpg
129,캐모마일,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_캐모마일.jpg
130,얼그레이,C:\\Users\\KDT103\\Desktop\\coding\\0. 프로젝트\\개인프로젝트\\mega_kiosk\\img\\drinks\\HOT_얼그레이.jpg
